Time (s),EMG,Label,Session
0.0,-0.019229286028862584,Idle,sim_1
0.001000100010001,-0.004111933353260601,Idle,sim_1
0.002000200020002,0.008543377086248763,Idle,sim_1
0.003000300030003,-0.0052134841183876105,Idle,sim_1
0.004000400040004,-0.01625293235837755,Idle,sim_1
0.005000500050005001,0.007181623636568721,Idle,sim_1
0.006000600060006,0.0030973862172571295,Idle,sim_1
0.0070007000700070005,-0.03781745787574817,Idle,sim_1
0.008000800080008,-0.008483500574471501,Idle,sim_1
0.009000900090009001,-0.02139030392397083,Idle,sim_1
0.010001000100010001,0.022542175377235903,Idle,sim_1
0.011001100110011002,-0.013037434197973588,Idle,sim_1
0.012001200120012,-0.019126133750904616,Idle,sim_1
0.013001300130013,0.015382543356038765,Idle,sim_1
0.014001400140014001,0.0011389242905976771,Idle,sim_1
0.015001500150015001,-0.012250980819280258,Idle,sim_1
0.016001600160016,-0.007953767783913195,Idle,sim_1
0.017001700170017002,-0.004296027004865407,Idle,sim_1
0.018001800180018002,-0.006793099090817316,Idle,sim_1
0.019001900190019003,-0.0010710212064360904,Idle,sim_1
0.020002000200020003,0.01850110297662778,Idle,sim_1
0.021002100210021003,0.013716918406951148,Idle,sim_1
0.022002200220022004,-0.008950339730932256,Idle,sim_1
0.023002300230023004,-0.004152156355410865,Idle,sim_1
0.024002400240024,0.0015917835843786636,Idle,sim_1
0.025002500250025,0.029197268207804154,Idle,sim_1
0.026002600260026,0.036616018545501505,Idle,sim_1
0.027002700270027002,0.04768946174750966,Idle,sim_1
0.028002800280028002,0.0036175262040744594,Idle,sim_1
0.029002900290029002,-0.009385896584714162,Idle,sim_1
0.030003000300030003,0.009575983623785507,Idle,sim_1
0.031003100310031003,0.007335494246038888,Idle,sim_1
0.032003200320032,-0.003845219248984092,Idle,sim_1
0.033003300330033,0.028440748260646586,Idle,sim_1
0.034003400340034004,-0.029307048274562222,Idle,sim_1
0.035003500350035,-0.04586822838517939,Idle,sim_1
0.036003600360036005,0.03895752975129257,Idle,sim_1
0.037003700370037,0.018029172966475535,Idle,sim_1
